content,score
𝚅𝚎𝚛𝚢 𝚏𝚞𝚗 𝚏𝚞𝚌𝚔 𝚊𝚍𝚟𝚎𝚛𝚝𝚜 😆😆𝚇𝙳 😆😆😆😆😆😆🤣😝😜,5
I love it who made the game ur cool,5
It is so much fun!!!!!,5
Addicting and very fun,5
Terrible game. There are way to many adverts and it's very glitchy. Very disappointed with the quality of the game compared to what it looked 😡,1
I love it,5
"Uninstalled because of 4 ads during a single level. I understand the need for ads, but 4 is just ridiculous.",1
Way to many adds disgusting amount.,1
Perfect 🥰,5
I like this game cause it's very internaning like when I get bored I just play this games cause its fun,5
Superb fun,5
Awesome,5
Too many ads,1
3rd class app..damanding for access personal data..if u not confirm then u cant play game..hated itt.. Not recomomend to downlaod or play...,1
Amazing,5
Too much ads waste app,1
I actually paid for no adds! I still have adds! In the middle of games it will randomly close out on you! Every level or 2!,1
It's unic in its own way,5
It's decent,3
It's amazing I love the game,5
The game is okay but if you want a easy game to play you can play this game,3
Loved the game my son plays it all the time on his tablet. Oh I mean he DID. His tablet doesn't have a data plan so he no longer can play it without connecting to my hotspot. That's a little absurd.,1
No I like this one,1
Thomas Ellison dookie I got too much about the blue cheeks,5
"As with most VooDoo games, they are actually fun and addicting ways to spend 30 minutes. However, it detracts greatly from the game when more than 50% of the time in the app is spent watching ads. It certainly isn't worth the money to get rid of ads either. Until VooDoo stops making games that are unplayable due to ads, avoid their games by all means.",1
Realy fun and good game try it for yourself it's a really fun and cool game!! 👁️👃👁️ 👁️👅👁️ 👁️👄👁️,5
It's very fun and 😎🆒️,5
I wouldn't recommend this to anyone you are forced to have a kind of WiFi connection or data so you can be bombarded with ads and it's too repetitive and I got bored in 5 minutes of playing this is the worst game I have ever played,1
So much ads,1
Omg it's sooo good I didn't even fail it's so easy that I can finish alllllll the levels :> LOL,5
If I could I would rate it 0 stars it's trash it's laggy,1
"There are too many ads on this game that are inappropriate to my 4 year old girl. Please remove all of these ads without ME paying for it because I have no intension to remove them myself. If you don't remove them soon, I will uninstall this game. My child's having nightmares about these ads and sometimes the game glitches and blocks her off it. Please make these ads go away and sort out these glitches quickly or else I will find a good game with no glitches and ads. Sort this out in this week.",1
I dont now,1
I. Rate. A. One. Because. It. Don't. Let. Me. Play. Because. It. Say. A. Messing. And. It. Say. Sorry. For. Doing. Sis. Game. And. The. Opisans. Was. Send. A. Mesed. Or. Got. It. And. Thank. You. For. Read. The. Mesed. And. Say. Yes. Not. No. Ok. And. Thank. You. For. Read. The. Messed. And. Thank. And. Biy 😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😍😍😍😍😍😍😍😍😍😍😍😍😍😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃 and. Biy !!.,1
makes me fill better,5
Worst game crashes and play 1 sec next second have to watch ad why make a game if can't play without watching damn ads .,1
Nice in,5
Super 💞,4
Fantastic game,5
wrf,5
"The game won't let you play if you're not connected to the internet. Would be fun but I don't feel like watching a million ads. Uninstalled, bye.",1
Rilly cool,5
Good,4
