content,score
جد ممتاز,5
Op bhi sab,5
Thanks for bro,5
It's good,5
Biharikumar_-Raja,5
wow,5
We are wasting our 77mb. There is no use with this game so I prefer 1 star for this game. The game should develop so much than this time when I keep this game to install I readed the comments but all of them said this game is bad but I took it silly but when I played this game I understood what they had said,1
This game is really good 👍👍😊,5
So Nice game,5
I love this game but so many ad's that's why im giving u 4 stars,4
Ok,5
Pedeba ako si Casy David,5
Not good too much ads I don't recommend 🙅,1
Nice games,5
Average,4
good,5
🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰,5
Good,5
Seerat,5
Good,5
😂😂😗😁😁😁😀😀🤣🤣🤣🤣😂🤣😋😋😎😎🤡😈😠😡😱👿👹👺👽👾👻🙀🙈🙉🙊,5
Good,5
Love it,5
I give five star because it's very fun,5
Hi super game,5
Ye download kew nahii horha,1
Nice game,5
Good,5
Bbv,5
Yash singh reported,1
I don't like this game because so much ads.,1
Fantastic,5
Op,2
Cool game I like it,5
و د ف,5
This is nothing but s*** like this is dumb this is dumb as s*** like this is dumb get this game off of Play Store,2
The ads were bad dont install this.,1
I love this game so much. Lovly👝👙🎓👑👡💄👖👘👓👔👢👗🔰,5
Namrata Shriwatrai,1
Good,5
ਵੈਰੀ ਚੰਗਾ,2
Best game in world 👌,5
AMRi,5
This game is absolutely weste game okk download karnaa math please 😭😭😭😭😭🥺🥺🥺,1
معلشي سؤال بس.... هو انا بلعب لعبة ولا بتفرج على الإعلانات,1
Very very super nice game 🔥🔥🔥,5
Maze game apni dusri ID mein khela tha good game,5
Mokka game mental game,1
NO PROBLEM,5
Nedj,5
Bed,1
It’s been various other view the,5
Nice game good game,5
Timepass,3
No more,5
Good,4
I think it's so bad but i see now it is amazing game ever,5
Good game,5
So many ads. Not a good experience.,1
Worst game,1
Worst game ever seen don't download,1
Ok,5
Nice game,5
I LIKE THE GAME❤❤❤❤❤,5
Mnn,5
Fgy,1
What is this what you show in ads in reality its totaly opposite,1
Nice game,5
wow,5
It was fantastic,5
Nice game 5 star 😃😃😃😄😄😄,5
good,5
Super,5
This is entresting,5
It is the worst game i have ever downloaded.,1
Love,5
It's good,5
😁,5
Gooo,5
Good,5
Good app,5
Wow how cool is this app thanks for making this app 👍,5
ZiyanVEE,5
😎😎😎😎😎😎😎,5
007 007,5
Very good,5
Shreyas Gowda.B,5
This game is good,5
Good,5
To the rise of escape master s,5
So funny game I love it 😍😍❤❤❤💞💟,5
I hate this game all u do is dig and dig and after every and nearly in the middle of a game they'll pay a add and this game is made out of hell,1
Not interested game,1
Also although appraisal ln hi,5
Game is made only for ads.,1
Nice game,5
This is superb game I really like it vaw super super super super,5
"It's right that if you turn off mobile data and WiFi you don't get ads but with it on its like every second you play there's an add so you have to come out of game then go back in to by pass ads. Also the levels are starting to repeat themselves, there's nothing to do with coins collected and the shop has nothing to sell, it's now BORING.",1
GG👌,5
I need this game,5
I love this game,5
Very good,5
Download game free download game,5
"It's a somewhat fun simple game but it never progresses beyond tutorial level difficulty. I don't want impossible, but some slight challenge is nice. It's very clearly built around serving ads and providing the barest minimum of entertainment.",2
ARJU,5
its a good game but there is to many ads,1
Nokia windows Mail,4
Good game,5
This game is very bad game 👎,1
150 rupiya dega,1
I love this game,5
😠😠😠😠😠😠😠,2
Very learn game,5
this game is search a butiful game.,5
Cool,5
Lot of add which is not good.,2
This game is super-duper awesome This should be the world's most popular game,5
Good game,5
Super game,5
This game is awesome,5
Not that bad ☺️🤗,2
King 👑,1
Nice,5
Such a boring game....,1
dummy,2
Eoq,5
Nice game,4
Nice,5
good,5
Uhh,3
🙏🙏🙏,5
😘😙,5
Love,5
It os fals astamsumt,2
Good,5
"I complete 100 + level and mansion In 2,3 hours and seriously I watched 50,60 ad 🥴🥴 so if you want to play just turn off your data or WiFi",2
Interesting,4
Bad lake,1
It's good best of luck for the next apps,3
