content,score
Kunalyadav,3
Amizing cube srfer,4
The Abbey shopping Nissan.,5
Its so easy and so cute,5
This is a fun app give it 5 stars,5
I love this app it's so fun u can use the blocks and stuff but why does it have so many adds tho but I love playing this game 😌,5
Can't go 5 seconds without an add wich makes this ridiculous (and it won't let you play offline SO THEY FORCR YOU TO WATCH ADDS!!!),1
It's so relaxing and it's good I love it,5
Bonus for player performance is arbitrary and not actually tied to player performance,2
This is the best game I've ever played,5
I am eagerly waiting for this game cause this game was slowly installing i saw the comment's all they give. I Lvd it and........,3
"Geezus. Ads ads ads. That's all there is. And even when you try to turn off wifi, you cant play. Which means this whole game is just a fricken ad. Wish I could give zero stars.",1
It is great 👍😀,5
Good game in general . But it seems to be a bit hard .,5
كتيييييييييير حلو,5
Amazing game,5
💗,1
Pari,1
I give this a one bcs it lags even tho im doing it right like when i want the big stacks of blocks i MISS or GO TO THE HIGH THING THAT MAKES U LOSE BLOCKS,1
"Great, you put ads in middle of game, and why this game require online mode? i enjoy playing this game before this update",1
Very nice,5
Stuff for the best for your,1
Not good,5
Nothing but ads,1
Wowww GREAT Game ...........,5
It is very satisfying,4
It is cool but glitches when i have o wifi or service,3
So fun!!,5
Don't download it to much ads😡😡😡,1
Its amazing,5
Brst game for relaxing,5
I have unlimited gems,5
💙💙💙💙💙💙💙💙💙💙🌎,5
Good joob this game oner,5
Too many ads. Do not even install it.,1
😠,2
Terrible its so hard to get to jackpot and the lava takes too much Uninstalled,1
Amazing ilove this game,5
This game is okay but it always freezes after 5 minute,3
yes good👍👍👍👍,5
"95% of voodoo's games are terrific. Great job, voodoo team.",4
This is so good like u will enjoy it install it my cousin and i playing with it this is our fav game download it!,5
Hello so I'm giving this a five star it's really fun and addicting and I play it when I'm board I am on level 169 I have already bought everything and have 13000 gems left over I would really love some more skins especially for the human because I don't really like the character skins I would also like to have it a little harder and more obstacles and It can get really bugy but over all it is a amazing game thank you.,5
Eshte e mire,5
becus it is fun,1
It is interestiing to play,1
Very very 🙂😀 nice 👍 game 👍,4
Love the game make more #love it,5
Best Game ever oh my,5
Love it,5
Using mu internet,1
Good game...but it's toooo easy to play.... Not for gamers.... it's only for children's......,5
Yee .,4
smile,5
That's good,5
Because this game is my happiness ❤,5
If you are interested to join us for this time you are going to brazil 🇧🇷 and if you are interested to join us for this time you are going to Brazil 🇧🇷,1
"I download this app because i see it on advertisment and i'm so amaze because the game is good and enjoyable, hahaa😂",4
I love this game,5
I love this game it reminds movie eating cheesecake while trying to hang upside down🥰🥰🥰🥰🥰,5
